variable,cycle,table,raw_name,weight,description,category,in_dataset,units,chemical_family
PAQ620,2011-2012,PAQ_G,,,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Physical Activity,Questionnaire,NA,NA
PAQ620,2013-2014,PAQ_H,,,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Physical Activity,Questionnaire,NA,NA
PAQ620,2015-2016,PAQ_I,,,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Physical Activity,Questionnaire,NA,NA
PAQ620,2017-2018,PAQ_J,,,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Physical Activity,Questionnaire,NA,NA
PAQ625,2007-2008,PAQ_E,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ625,2009-2010,PAQ_F,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ625,2011-2012,PAQ_G,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ625,2013-2014,PAQ_H,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ625,2015-2016,PAQ_I,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ625,2017-2018,PAQ_J,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Physical Activity,Questionnaire,NA,NA
PAQ635,2007-2008,PAQ_E,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ635,2009-2010,PAQ_F,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ635,2011-2012,PAQ_G,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ635,2013-2014,PAQ_H,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ635,2015-2016,PAQ_I,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ635,2017-2018,PAQ_J,,,In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?,Physical Activity,Questionnaire,NA,NA
PAQ640,2007-2008,PAQ_E,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ640,2009-2010,PAQ_F,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ640,2011-2012,PAQ_G,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ640,2013-2014,PAQ_H,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ640,2015-2016,PAQ_I,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ640,2017-2018,PAQ_J,,,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Physical Activity,Questionnaire,NA,NA
PAQ650,2007-2008,PAQ_E,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ650,2009-2010,PAQ_F,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ650,2011-2012,PAQ_G,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ650,2013-2014,PAQ_H,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ650,2015-2016,PAQ_I,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ650,2017-2018,PAQ_J,,,"In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ655,2007-2008,PAQ_E,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ655,2009-2010,PAQ_F,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ655,2011-2012,PAQ_G,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ655,2013-2014,PAQ_H,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ655,2015-2016,PAQ_I,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ655,2017-2018,PAQ_J,,,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ665,2007-2008,PAQ_E,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ665,2009-2010,PAQ_F,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ665,2011-2012,PAQ_G,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ665,2013-2014,PAQ_H,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ665,2015-2016,PAQ_I,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ665,2017-2018,PAQ_J,,,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Physical Activity,Questionnaire,NA,NA
PAQ670,2007-2008,PAQ_E,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ670,2009-2010,PAQ_F,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ670,2011-2012,PAQ_G,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ670,2013-2014,PAQ_H,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ670,2015-2016,PAQ_I,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ670,2017-2018,PAQ_J,,,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Physical Activity,Questionnaire,NA,NA
PAQ677,2013-2014,PAQ_H,,,"In this question you can include activities done in school. On how many of the past 7 days did {you/SP} exercise or participate in physical activity for at least 20 minutes that made {you/him/her} sweat and breathe hard, such as basketball, soccer, running, swimming laps, fast bicycling, fast dancing, or similar activities?",Physical Activity,Questionnaire,NA,NA
PAQ677,2015-2016,PAQ_I,,,"In this question you can include activities done in school. On how many of the past 7 days did {you/SP} exercise or participate in physical activity for at least 20 minutes that made {you/him/her} sweat and breathe hard, such as basketball, soccer, running, swimming laps, fast bicycling, fast dancing, or similar activities?",Physical Activity,Questionnaire,NA,NA
PAQ678,2013-2014,PAQ_H,,,"On how many of the past 7 days did {you/SP} do exercises to strengthen or tone {your/his/her} muscles, such as push-ups, sit-ups, or weight lifting?",Physical Activity,Questionnaire,NA,NA
PAQ678,2015-2016,PAQ_I,,,"On how many of the past 7 days did {you/SP} do exercises to strengthen or tone {your/his/her} muscles, such as push-ups, sit-ups, or weight lifting?",Physical Activity,Questionnaire,NA,NA
PAQ679,2013-2014,PAQ_H,,,About how many minutes {do you/does SP} think you should exercise or be physically active each day for good health?,Physical Activity,Questionnaire,NA,NA
PAQ679,2015-2016,PAQ_I,,,About how many minutes {do you/does SP} think you should exercise or be physically active each day for good health?,Physical Activity,Questionnaire,NA,NA
PAQ706,2009-2010,PAQ_F,,,"During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Physical Activity,Questionnaire,NA,NA
PAQ706,2011-2012,PAQ_G,,,"During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Physical Activity,Questionnaire,NA,NA
PAQ706,2013-2014,PAQ_H,,,"During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Physical Activity,Questionnaire,NA,NA
PAQ706,2015-2016,PAQ_I,,,"During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Physical Activity,Questionnaire,NA,NA
PAQ710,2001-2002,PAQ_B,PAD590,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2003-2004,PAQ_C,PAD590,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2005-2006,PAQ_D,PAD590,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2007-2008,PAQ_E,PAD590,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2009-2010,PAQ_F,PAD590,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2011-2012,PAQ_G,,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2013-2014,PAQ_H,,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ710,2015-2016,PAQ_I,,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Physical Activity,Questionnaire,NA,NA
PAQ715,2001-2002,PAQ_B,PAD600,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2003-2004,PAQ_C,PAD600,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2005-2006,PAQ_D,PAD600,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2007-2008,PAQ_E,PAD600,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2009-2010,PAQ_F,PAD600,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2011-2012,PAQ_G,,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2013-2014,PAQ_H,,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ715,2015-2016,PAQ_I,,,"Over the past 30 days, on average about how many hours per day did {you/SP} use a computer or play computer games? Would you say...",Physical Activity,Questionnaire,NA,NA
PAQ722,2013-2014,PAQ_H,,,"For the next questions, think about the sports, lessons, or physical activities {you/SP} may have done during the past 7 days? Please do not include things {you/he/she} did during the school day like PE or gym class. Did {you/SP} do any physical activities during the past 7 days?",Physical Activity,Questionnaire,NA,NA
PAQ722,2015-2016,PAQ_I,,,"For the next questions, think about the sports, lessons, or physical activities {you/SP} may have done during the past 7 days? Please do not include things {you/he/she} did during the school day like PE or gym class. Did {you/SP} do any physical activities during the past 7 days?",Physical Activity,Questionnaire,NA,NA
PAQ724A,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724A,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AA,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AA,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AB,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AB,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AC,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AC,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AD,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AD,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AE,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AE,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724AF,2013-2014,PAQ_H,,,Physical activity horseback riding,Physical Activity,Questionnaire,NA,NA
PAQ724AF,2015-2016,PAQ_I,,,Physical activity horseback riding,Physical Activity,Questionnaire,NA,NA
PAQ724B,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724B,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724C,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724C,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724CM,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724CM,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724D,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724D,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724E,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724E,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724F,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724F,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724G,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724G,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724H,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724H,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724I,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724I,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724J,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724J,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724K,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724K,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724L,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724L,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724M,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724M,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724N,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724N,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724O,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724O,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724P,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724P,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Q,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Q,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724R,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724R,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724S,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724S,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724T,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724T,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724U,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724U,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724V,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724V,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724W,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724W,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724X,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724X,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Y,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Y,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Z,2013-2014,PAQ_H,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ724Z,2015-2016,PAQ_I,,,What physical activities did {you/SP} do during the past 7 days? {PROBE: Did {you/he/she} do any other physical activities?},Physical Activity,Questionnaire,NA,NA
PAQ731,2013-2014,PAQ_H,,,"During the past 7 days, on how many days did {you/SP} play active video games such as Wii Sports, Wii Fit, Xbox 360, Xbox Kinect, Playstation 3, or Dance, Dance Revolution?",Physical Activity,Questionnaire,NA,NA
PAQ731,2015-2016,PAQ_I,,,"During the past 7 days, on how many days did {you/SP} play active video games such as Wii Sports, Wii Fit, Xbox 360, Xbox Kinect, Playstation 3, or Dance, Dance Revolution?",Physical Activity,Questionnaire,NA,NA
PAQ740,2013-2014,PAQ_H,,,"The next questions ask about activities during the school year. If {you are/SP is} not currently in school, think about {your/his/her} activities when {you were/he was/she was} last in school. Are students at {your/his/her} school allowed to use school facilities during lunch or during a free or elective period, such as the gymnasium, tennis courts, weight room, or track, during school time?",Physical Activity,Questionnaire,NA,NA
PAQ740,2015-2016,PAQ_I,,,"The next questions ask about activities during the school year. If {you are/SP is} not currently in school, think about {your/his/her} activities when {you were/he was/she was} last in school. Are students at {your/his/her} school allowed to use school facilities during lunch or during a free or elective period, such as the gymnasium, tennis courts, weight room, or track, during school time?",Physical Activity,Questionnaire,NA,NA
PAQ742,2013-2014,PAQ_H,,,{Do you/Does SP} use school facilities for physical activity during school time?,Physical Activity,Questionnaire,NA,NA
PAQ742,2015-2016,PAQ_I,,,{Do you/Does SP} use school facilities for physical activity during school time?,Physical Activity,Questionnaire,NA,NA
PAQ744,2013-2014,PAQ_H,,,{Do you/does SP} have PE or gym during school days?,Physical Activity,Questionnaire,NA,NA
PAQ744,2015-2016,PAQ_I,,,{Do you/does SP} have PE or gym during school days?,Physical Activity,Questionnaire,NA,NA
PAQ746,2013-2014,PAQ_H,,,How often {do you/does SP} have PE or gym?,Physical Activity,Questionnaire,NA,NA
PAQ746,2015-2016,PAQ_I,,,How often {do you/does SP} have PE or gym?,Physical Activity,Questionnaire,NA,NA
PAQ748,2013-2014,PAQ_H,,,"On average, how long is the PE or gym class?",Physical Activity,Questionnaire,NA,NA
PAQ748,2015-2016,PAQ_I,,,"On average, how long is the PE or gym class?",Physical Activity,Questionnaire,NA,NA
